ticker,name,company,mcap,per,pbr,ev_ebit,ev_sales,per_src,ev_ebit_src,ev_sales_src,rnd_ratio,rnd_krwmn,revenue_krwmn,rcept_no,mix_grade,otc_pct,etc_pct,other_pct,mix_note,source,fy,gov_score,flags,notes,sources,s_mix,s_rnd,s_gov,s_val,val_pct,n_multiples,score_total,c1_mix,c2_rnd,c3_gov,c4_val,n_cond,is_ref
A009290,광동제약,"Kwang Dong Pharmaceutical Co., Ltd.",220324.00969,12.193860057171,0.472335464308446,14.5387493497355,0.241998991494711,LTM,LTM,LTM,1.4,,1659512.4577,20260318001573,A,,3.0,70.0,사실상 음료회사: 삼다수 33%+비타500 등. 자체 ETC ~3%뿐·가다실 수입 의존,medipana.com/featurestory/view.php?news_idx=344725,FY2024,30.0,승계 취약;내부거래 의혹(미확인),"최성원 지분 ~5-6%뿐 — 자사주+우호지분 의존 지배(2026 보도). 광동생활건강 내부거래 의혹·고액 지급수수료 리베이트 의혹은 보도 단계(제재 없음, 미확인)",thebell.co.kr 2026-01-02 | ftoday.co.kr/news/articleView.html?idxno=331197,100,95.1219512195122,30.0,28.931894265466717,0.2893189426546672,4,60.2,True,True,False,False,2,False
A003520,영진약품,"Yungjin Pharm. Co., Ltd.",214715.760954,22.7893950307378,2.19109802133855,,,LTM,,,4.77,12127.0,254255.894053,20260312000801,B,,,28.0,세파 항생제 API·완제 일본 수출 >28%+국내 ETC 제네릭. KT&G 계열,dailypharm.com/Users/News/NewsView.html?ID=299077,FY2024,30.0,합병 배임 수사(2021);자본잠식 3년,KT&G생명과학 합병 고평가 배임 수사·압수수색(2021). 부분 자본잠식 3년 연속(FY2024까지)+손배소송. 리베이트·CB 미발견,kpanews.co.kr/news/articleView.html?idxno=219099 | news.mtn.co.kr 2025-05-20,50,73.17073170731707,30.0,79.69870875179339,0.7969870875179339,2,58.5,False,True,False,True,2,False
A317450,명인제약,Myung In Pharmaceutical LTD.,661380.0,7.3346496703871,0.843191179215546,2.23150114912957,0.748626994534956,LTM,LTM,LTM,6.17,17741.0,287254.358952,20260325001031,A,14.0,80.0,,ETC ~76-85%(CNS 제네릭 중심)+이가탄·메이킨 OTC ~14%. 신약 없음,theguru.co.kr/news/article.html?no=105414 | kpanews.co.kr/news/articleView.html?idxno=263333,FY2025,50.0,일감몰아주기(2025);승계성 증여,딸들 100% 소유 메디커뮤니케이션에 일감몰아주기 — 증여세 재원 마련 구조 보도(2025). 주가 급락 후 저가 증여(증여세 절감) 논란. IPO 공모가 하회,dealsite.co.kr/articles/162265 | news.tf.co.kr/read/economy/2326217.htm,100,68.29268292682926,50.0,22.35438521306527,0.2235438521306527,4,57.9,True,False,True,False,2,False
A293480,하나제약,"Hana Pharm Co., Ltd.",147337.72234,3.7672756757587,1.13124077327226,,,LTM,,,6.6,15798.349,239503.892657,20260320001014,A,,90.0,,마취·마약성진통제 제네릭 (프로포폴 아네폴 등). 바이파보는 도입품,medipana.com/news/articleView.html?idxno=403383,FY2024,45.0,리베이트 대량 판매정지(~2021);승계 구조 이상,"리베이트로 약 106품목 판매정지 1-3개월(연도 미확인, ~2021 추정)+정지 전 밀어내기 보도. 최대주주 아들(25.3%)은 이사회 배제, 딸들이 이사회 장악(2026) — 지분·경영 미스매치",whosaeng.com/130858 | joongangenews.com/news/articleView.html?idxno=515879,100,60.97560975609756,45.0,30.738880918220946,0.30738880918220945,2,57.7,True,False,True,False,2,False
A003220,대원제약,"Daewon Pharmaceutical Co., Ltd.",163108.47079,11.0,0.625357158808841,14.7486062145974,0.46741515919916,2026E,2026E,2026E,9.92,54002.435591,605434.719615,20260318001398,A,13.0,85.0,,ETC/OTC 생산액 약 85/15. 콜대원·코대원+제네릭. 건기식 확장 중,pharm.edaily.co.kr/news/read?newsId=02020486639088344,FY2024,40.0,세무조사 2회(2020·2025)+리베이트 의혹;일감몰아주기,조사4국 특별 세무조사 100억대 추징(2025) — 리베이트·비자금 의혹 연계 보도. 대원바이오텍 매출 54%가 내부거래. 3세 백인환 대표,thepublic.kr/news/articleView.html?idxno=270408 | thepublic.kr/news/articleView.html?idxno=262841,100,26.82926829268293,40.0,35.213104088642105,0.35213104088642105,4,50.9,True,False,True,False,2,False
A330350,위더스제약,"WITHUS PHARMACEUTICAL Co.,LTD.",115497.2,14.560810583084,1.04062098562375,27.6840533256577,0.973144351684851,LTM,LTM,LTM,7.23,7691.0,106444.236309,20260318000724,A,,95.0,,퍼스트제네릭 ETC 전업 (노인성질환 ~47%)+장기지속형 주사제 CMO,etoday.co.kr/news/view/2037623,FY2024,30.0,오너 병원 겸업(이해상충);테마성 급등,"오너 성대영이 처방 주체인 한도병원 이사장 겸직 — 특수관계 편입(2025), 제약사-병원 이해상충. 탈모 테마 급등 반복(2021-22). CB·횡령 미발견",medicopharma.co.kr/news/articleView.html?idxno=69403 | biotimes.co.kr/news/articleView.html?idxno=21617,100,51.21951219512195,30.0,64.39801530368244,0.6439801530368244,4,62.1,True,False,False,False,1,False
A000520,삼일제약,"Samil Pharmaceutical Co.,Ltd",132711.75513,,1.06058710599923,,1.281629766,,,2026E,4.02,8462.921,210253.472993,20260318001625,B,,,,"안과 점안제 672억+CNS 365억 중심, 부루펜 OTC. 베트남 CMO 투자 중",rapportian.com/news/articleView.html?idxno=230322,FY2024,35.0,CB·BW 반복 발행;옛 리베이트 패턴,베트남 공장 자금 CB·BW 반복 — 풋옵션 상환용 재발행(2025 120억 등). 리베이트는 2007·2013 반복(윈도 밖). 2년 연속 적자,pharm.edaily.co.kr newsId=03348886635577104 | etoday.co.kr/news/view/649041,50,80.48780487804879,35.0,62.897265336289735,0.6289726533628973,2,56.2,False,True,False,False,1,False
A307750,국전약품,"Kookjeon Pharmaceutical Co., Ltd.",112291.47904,,1.05260428821569,54.192684964037,0.94550150597911,,LTM,LTM,2.31,,131039.3987,20260323001002,B,,,6.0,원료의약품(API) >90% — 제네릭사에 공급하는 상류. 2차전지 소재 신사업 6.4%,medipana.com/news/articleView.html?idxno=406096,FY2024,15.0,테마성 자금조달;오너 지분 감소(사유 미확인),"2차전지·치매 테마 공시와 유증 466억(2021). 오너 일가 지분 55.4→52.2% 감소(2026-03, 사유 미확인). 형사·제재 미발견",gukjenews.com/news/articleView.html?idxno=2264825 | news.nate.com/view/20260403n30404,50,92.6829268292683,15.0,67.85010382571357,0.6785010382571358,3,55.1,False,True,False,False,1,False
A106190,하이텍팜,"High Tech Pharm Co., Ltd.",125046.11448,14.5854021184692,1.01530506799646,13.3002509608648,1.77176394277049,LTM,LTM,LTM,1.16,,70183.145366,20260312001020,B,,,100.0,카바페넴 항생제 API 95.3%·수출 99.9% (유럽 87%) — 국내 제네릭 사업 아님,dailypharm.com/user/news/338556,FY2025,10.0,단일고객 집중(87%),ACS Dobfar 관련 매출 87% — 지배구조보다 사업 리스크. 2026 CEO 교체·1Q 적자. 형사·제재 미발견,dailypharm.com/user/news/338344,50,97.5609756097561,10.0,59.53068034309067,0.5953068034309067,4,52.4,False,True,False,False,1,False
A214390,경보제약,"Kyongbo Pharmaceutical Co., Ltd",120012.4372,,0.8549314192481,31.0269058538274,0.951027907119656,,LTM,LTM,8.24,21754.533,264104.056811,20260318001475,B,,47.0,38.0,종근당그룹 API 하우스 (API 37.5%)→완제 ETC 47.3% 전환 중. OTC 미미,medipana.com/news/articleView.html?idxno=401264,FY2024,55.0,공정위 리베이트(2024)+검찰 압수수색(2023);품목허가 취소,싹콜/플라톱 은어 현금 리베이트 — 공정위 과징금(2024)+압수수색(2023). 28품목 3개월 정지(2024)+23품목 허가취소 1심 패소(2025). 오너 지분 전량 3세 증여(2025) 승계 지렛대 평가,newsis.com NISX20240619 | hitnews.co.kr/news/articleView.html?idxno=53368,50,39.02439024390244,55.0,59.59771935381691,0.5959771935381691,3,51.9,False,False,True,False,1,False
A000020,동화약품,"Dongwha Pharm.Co.,Ltd",141084.26369999998,7.96833026365413,0.364613504140331,13.7952770442559,0.498541784320091,LTM,LTM,LTM,6.4,26266.0,496394.309778,20260318001027,A,44.0,,,OTC 브랜드 44% (활명수·판콜·후시딘·잇치)+제네릭 ETC. 신약 없음,bloter.net/news/articleView.html?idxno=634766,FY2024,15.0,순환출자 구조;옛 리베이트(윈도 밖),"4세 승계 완료(2022), 순환출자형 가족회사 구조. 리베이트 대형 사건은 2013-14(윈도 밖), 현재 CP 최고등급. 2021-2026 신규 제재 미발견",news.mt.co.kr 2022-02-22 | medipharmhealth.co.kr/news/article.html?no=117465,100,65.85365853658536,15.0,22.531706695982162,0.22531706695982162,4,48.7,True,False,False,False,1,False
A005500,삼진제약,"Samjin Pharmaceuticals Co., Ltd.",215981.9955,10.4293373421067,0.865902378544111,,,LTM,,,11.54,35673.0,309133.530719,20260316001338,A,,80.0,,ETC 80%+ 제네릭(플래리스=플라빅스 제네릭 대표)+게보린 OTC. 신약 없음,bloter.net/news/articleView.html?idxno=662619,FY2025,25.0,지분경쟁 이력(2022);GMP 처분,"하나제약 8.33% 매집(2022, 2026 청산) — 낮은 가족지분(~13%/~10%)의 경영권 취약성. GMP 위반 25품목 1개월 제조정지(연도 미확인)",hankyung.com/article/202209165384i | mdtoday.co.kr/news/view/1065588733013007,100,17.07317073170732,25.0,41.31994261119082,0.4131994261119082,2,47.1,True,False,False,False,1,False
A002390,한독,HANDOK Inc.,120945.80036,,0.488416605412768,,0.844843363304834,,,LTM,4.26,22823.391364,535137.855367,20260318000762,B,15.0,67.0,,ETC ~65-70%(아마릴·테넬리아 도입 중심)/OTC 케토톱 ~15%/진단기기,supple.kr/news/cms79b6uf000x318mewrdgdh8,FY2024,35.0,3세 우회승계 구조,와이앤에스(한독 18.1%)를 3세 김동한이 지배 — '우회세습' 지적(2023)+주식담보대출·가족회사 이익잉여금 활용 의혹. 실적 급락(영업익 20억),news.bizwatch.co.kr 2023-08-16 | 1conomynews.co.kr/news/articleView.html?idxno=50355,50,78.04878048780488,35.0,31.855136733185514,0.31855136733185513,2,46.4,False,True,False,False,1,False
A003000,부광약품,"Bukwang Pharmaceutical Co., Ltd.",406498.44452,27.9677206868298,1.26918593467438,24.0200579305398,1.46889212167243,LTM,LTM,LTM,12.83,25752.81671,200714.183691,20260316001273,B,,,,레가론·치옥타시드 등 레거시+CNS ETC 확대. OCI 인수 후 실적 부진,m.sedaily.com/amparticle/20035220,FY2025,30.0,오너 현금화(2022);연쇄 유상증자 희석,창업주 일가 21.6% OCI에 1461억원 매각(2022). OCI 주도 유증 반복 — 소액주주 희석 지속(창업주 10.3%→7.15%). 인수 후 실적 부진,docdocdoc.co.kr/news/articleView.html?idxno=2020055 | m.dailypharm.com/newsView.html?ID=324602,50,12.195121951219512,30.0,72.34557348438267,0.7234557348438266,4,44.1,False,False,False,True,1,False
A086450,동국제약,"DongKook Pharmaceutical Co., Ltd.",798459.8679,9.85090521831736,1.22859022211398,8.10152631463861,0.848583446276953,2026E,2026E,2026E,3.8,,926883.701823,20260312001256,B,18.0,25.0,53.0,OTC 18.4%/ETC 24.6%/헬스케어(화장품 등) 34.1%+기타. 신약 없음 — 브랜드 OTC+화장품 다각화,한국IR협의회 리포트 2026-05 | medicopharma.co.kr/news/articleView.html?idxno=66050,FY2025,0.0,,주요 플래그 미발견(2021-2026). 권기범→DK&Com→동국제약 ~44% 안정 지배,검색 결과 clean,50,85.36585365853658,0.0,43.796232461942644,0.43796232461942647,4,42.7,False,True,False,False,1,True
A016580,환인제약,"Whan In Pharm Co.,Ltd.",181327.5495,9.00900900900901,0.433937995121384,5.4479520266055,0.424768791773963,2026E,2026E,2026E,9.1,23186.693,255214.382356,20260312001200,A,,82.0,,CNS 정신과 제네릭 81.7% (쿠에타핀 등) — 사실상 전부 ETC 제네릭,dailypharm.com/News/263279,FY2024,20.0,승계 관련 특수관계 거래 주시,2세 이원범 CEO — 자회사 BP도 지분 30%(150억) 취득 등 승계 관련 거래 주시(2024). 옛 리베이트 판례 의혹은 회사 특정 미확인. 상폐 직전 바이오텍 150억 인수 — 자본배분 의문,biotimes.co.kr/news/articleView.html?idxno=17564,100,31.707317073170728,20.0,13.546033712819938,0.13546033712819938,4,40.4,True,False,False,False,1,False
A001540,안국약품,"Ahn-Gook Pharmaceutical Co., Ltd.",119563.6398,7.56350638423632,0.724592594428336,6.90218002253429,0.411296673135428,LTM,LTM,LTM,8.76,26896.537,306873.904373,20260318000992,B,1.0,84.0,,"개량신약 ~45%+제네릭 ~39%, OTC(토비콤) ~1%. 시네츄라·페바로젯",hitnews.co.kr/news/articleView.html?idxno=45187,FY2022,60.0,리베이트 90억 기소(2019~재판중);오너 실형(2022),"현금 리베이트 90억 기소(2019, 2025 현재 재판 계속)+일부 품목 판매정지 3개월. 오너 어진 — 직원 대상 무허가 임상 — 징역 10개월(2022-08). 상속세 타이밍 승계 보도",hankookilbo.com 2019-07-30 | v.daum.net/v/Yw9rLbJG7A,50,34.14634146341463,60.0,18.465850863627047,0.18465850863627048,4,39.9,False,False,True,False,1,False
A007570,일양약품,"Ilyang Pharmaceutical Co.,Ltd",145192.2165,7.48004671336651,0.591950818110389,,0.825163447437981,LTM,,LTM,11.3,30658.19,272422.211708,20260318000595,B,,,,자체신약 놀텍·슈펙트 보유하나 성장 정체+원비디 OTC+중국 자회사 ~절반,KIND FY2023 사업보고서 | hkn24.com/news/articleView.html?idxno=317341,FY2023,55.0,주가부양 보도자료(2020→2025 무혐의),"슈펙트 코로나 효과 보도자료로 주가 5배(2020) — 대주주 고점 매도, 경찰 '유리한/사실 아닌 내용만 포함' 판단, 검찰 무혐의(2025). 전과는 아니나 신뢰성 플래그",biz.newdaily.co.kr 2024-11-12 | m.news.nate.com/view/20250418n19727,50,19.512195121951216,55.0,27.567641986580295,0.27567641986580294,3,38.4,False,False,True,False,1,False
A009420,한올바이오파마,"Hanall Biopharma Co., Ltd.",2905313.3252000003,,19.5839130689095,,18.5678134528033,,,2026E,20.92,32469.597,155184.524107,20260318001637,C,,,6.0,국내 의약품 판매+바토클리맙 FcRn 파이프라인 (이뮤노반트 L/O $502.5M) — R&D 하우스,securities.miraeasset.com 리포트 | medifonews.com/news/article.html?no=208656,FY2024,25.0,임의제조 처분(2021);대웅 계열,임의제조 6품목 제조판매중지(2021)+과거 리베이트 약가인하 이력. 최대주주 대웅제약(30.1%) — 그룹 리스크 연동,insightkorea.co.kr/news/articleView.html?idxno=246153,0,0.0,25.0,100.0,1.0,2,36.2,False,False,False,True,1,False
A023910,대한약품,"Daihan Pharmaceutical Co.,Ltd.",153468.0,5.79753071671972,0.519352890026653,1.9385217042365,0.273346687274559,LTM,LTM,LTM,1.06,2206.06,208614.118262,20260318001361,B,,99.0,,"기초수액 76.6%+앰플·바이알 22.4% — 병원용 ETC 커머디티, 과점 3사",hitnews.co.kr/news/articleView.html?idxno=51882,FY2023,5.0,,주요 플래그 미발견. 3세 승계 진행(장내 매수 방식 — 스캔들 아님),dailymedi.com wr_id=896111,50,100.0,5.0,7.537133478668628,0.07537133478668628,4,36.0,False,True,False,False,1,False
A128940,한미약품,"Hanmi Pharm. Co., Ltd.",5139089.955,24.8757188202114,3.89475766005504,17.5687063685379,3.19155324613486,2026E,2026E,2026E,14.8,229012.0,1547531.098763,20260320001130,C,,,,ETC 중심(원외처방 1위)+북경한미 ~26%. 자체신약(로수젯 등)+GLP-1 파이프라인,hanmi.co.kr/about/news-media/press/detail-1601.hm,FY2024,35.0,경영권분쟁(2024),모녀 vs 형제 경영권 분쟁 → OCI 통합 무산(2024-03) → 신동국 연합으로 종결(2024-12). 분쟁은 끝났으나 지배구조 불안 이력,seoul.co.kr 2024-03-28 | biospectator.com/news/view/23930,0,4.878048780487809,35.0,80.79423565435043,0.8079423565435043,4,34.0,False,False,False,True,1,False
A000100,유한양행,Yuhan Corporation,6115705.097800001,41.876402040393,2.72454516034411,47.598229953712,2.65748138989313,2026E,2026E,2026E,11.1,242399.0,2186637.586358,20260312001236,C,,,,약품사업 65.5%+해외(API수출) 14.8%. 렉라자 FDA 승인 신약 보유 — 차별화됨,hkn24.com/news/articleView.html?idxno=342859 | hankyung.com/article/2025101507691,FY2024,5.0,,오너 없음(소유·경영 분리). 2021 계열사 엠지 리베이트 과징금 78백만원(본체 아님). 2026-03 공정위 조사 진행 중(결론 미정),seoul.co.kr 2021-11-24 | catchnews.kr/news/articleView.html?idxno=121686,0,21.95121951219512,5.0,86.53773593694685,0.8653773593694685,4,31.6,False,False,False,True,1,False
A001060,JW중외제약,JW Pharmaceutical Corporation,603070.7636,8.84558823319006,1.62131443380261,6.04588537195482,0.777900864470344,LTM,LTM,LTM,14.1,107931.0,775298.057923,20260318001544,C,7.0,81.0,,ETC 81%(수액 2470억·리바로·헴리브라)/OTC 7%. 통풍신약 3상 성공,hitnews.co.kr/news/articleView.html?idxno=61516,FY2024,45.0,리베이트 역대최대 과징금(2023);대표 기소,"공정위 과징금 298억원(제약 리베이트 역대 최대, 2023-10)+법인·대표 검찰 고발. 신영섭 대표 조세범죄 불구속 기소 보도(판결 미확인)",hitnews.co.kr/news/articleView.html?idxno=49171 | ngonews.kr/news/articleView.html?idxno=204512,0,9.756097560975608,45.0,38.352525045494914,0.3835252504549492,4,24.7,False,False,True,False,1,False
A249420,일동제약,"Ildong Pharmaceutical Co., Ltd.",425673.29616,12.7273503714613,1.84145983168769,23.2617183894568,0.931856950612914,LTM,LTM,LTM,6.54,36591.0,566933.738499,20260318000787,B,,56.0,,ETC ~56%+아로나민 OTC. 신약부문 유노비아 분사(2023)→재흡수(2026) — R&D 축소,pharmnews.com/news/articleView.html?idxno=259236,FY2024,35.0,CB 연쇄발행(2021·2024);R&D 분사 유턴,"1000억 CB 2회(2021-11, 2024-01). CB 투자자 압박으로 R&D 분사(유노비아 2023)→2026 재흡수 유턴. 자본잠식 자회사 추가 출자 우려 보도",KIND 2021-11-22 | KIND 2024-01-31 | hitnews.co.kr/news/articleView.html?idxno=75378,50,63.41463414634146,35.0,64.55790742017427,0.6455790742017428,4,53.3,False,False,False,False,0,False
A271980,제일약품,"Jeil Pharmaceutical Co.,Ltd",143383.72728,15.8781097886002,0.72335318979892,58.7888084364939,0.441185349751982,LTM,LTM,LTM,8.05,45638.0,567244.440283,20260316000872,B,,,,수입 오리지널 유통(상품 70%+) 중심. 자회사 온코닉 자큐보 신약 보유,medipana.com/news/articleView.html?idxno=345765,FY2025,25.0,리베이트 과징금(2024);승계,"공정위 과징금 3억원 — 골프·상품권깡 리베이트 2020-2023(2024-11). 3세 한상철 승계 진행, 온코닉이 승계 수단 평가",economidaily.com/view/20241114151913928 | bizhankook.com/bk/article/27856,50,43.90243902439024,25.0,51.356540398864645,0.5135654039886465,4,42.9,False,False,False,False,0,False
A243070,휴온스,"Huons Co., Ltd.",284885.55645000003,9.72621897492379,0.798729800149454,12.1213749381294,0.709966836615724,LTM,LTM,LTM,6.73,41804.888,620768.254716,20260323001636,B,,45.0,44.0,ETC 45%/뷰티·웰빙 32%/CMO 12%. 제네릭·개량신약+에스테틱 혼합,startuptoday.co.kr/news/articleView.html?idxno=406114,FY2024,30.0,승계 증여(2025);세무조사 보도,윤인상 2세 승계 증여 진행(2025말 3.99%). 국세청 특별 세무조사 — 내부거래·편법승계 의혹 보도(일자 미확인). 형사 제재 미발견,news.dealsitetv.com/articles/171511 | thepublic.kr/news/view/1065589983904151,50,57.31707317073172,30.0,34.01226344196215,0.3401226344196215,4,41.7,False,False,False,False,0,False
