ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification,Base Market Value,bb_ticker,bb_exch,sec_type,figi_name
US67066G1040,2379504,NVIDIA Corporation,USD,4788440.0,4.973835,United States,222.27,Information Technology,Semiconductors & Semiconductor Equipment,1064326500.0,NVDA,US,Common Stock,NVIDIA CORP
US0378331005,2046251,Apple Inc.,USD,3058480.0,4.804292,United States,336.13,Information Technology,Technology Hardware Storage & Peripherals,1028046900.0,AAPL,US,Common Stock,APPLE INC
US5949181045,2588173,Microsoft Corporation,USD,1469504.0,3.390945,United States,493.78,Information Technology,Software,725611700.0,MSFT,US,Common Stock,MICROSOFT CORP
US0231351067,2000019,Amazon.com Inc.,USD,2015788.0,2.390006,United States,253.71,Consumer Discretionary,Broadline Retail,511425570.0,AMZN,US,Common Stock,AMAZON.COM INC
US02079K3059,BYVY8G0,Alphabet Inc. Class A,USD,1227426.0,2.004974,United States,349.54,Communication Services,Interactive Media & Services,429034500.0,GOOGL,US,Common Stock,ALPHABET INC-CL A
TW0002330008,6889106,Taiwan Semiconductor Manufacturing Co. Ltd.,TWD,5099825.0,1.845832,Taiwan,2460.0,Information Technology,Semiconductors & Semiconductor Equipment,394980580.0,2330,TT,Common Stock,TAIWAN SEMICONDUCTOR MANUFAC
US11135F1012,BDZ78H9,Broadcom Inc.,USD,941240.0,1.572992,United States,357.61,Information Technology,Semiconductors & Semiconductor Equipment,336596830.0,AVGO,US,Common Stock,BROADCOM INC
US02079K1079,BYY88Y7,Alphabet Inc. Class C,USD,966237.0,1.555163,United States,344.41,Communication Services,Interactive Media & Services,332781700.0,GOOG,US,Common Stock,ALPHABET INC-CL C
US30303M1027,B7TL820,Meta Platforms Inc Class A,USD,457435.0,1.423171,United States,665.75,Communication Services,Interactive Media & Services,304537340.0,META,US,Common Stock,META PLATFORMS INC-CLASS A
US5951121038,2588184,Micron Technology Inc.,USD,235497.0,1.117918,United States,1015.8,Information Technology,Semiconductors & Semiconductor Equipment,239217860.0,MU,US,Common Stock,MICRON TECHNOLOGY INC
US88160R1014,B616C79,Tesla Inc.,USD,595853.0,1.014329,United States,364.27,Consumer Discretionary,Automobiles,217051380.0,TSLA,US,Common Stock,TESLA INC
US46625H1005,2190385,JPMorgan Chase & Co.,USD,551468.0,0.901146,United States,349.67,Financials,Banks,192831800.0,JPM,US,Common Stock,JPMORGAN CHASE & CO
US5324571083,2516152,Eli Lilly and Company,USD,166874.0,0.8991,United States,1152.93,Health Care,Pharmaceuticals,192394050.0,LLY,US,Common Stock,ELI LILLY & CO
US0079031078,2007849,Advanced Micro Devices Inc.,USD,340198.0,0.890014,United States,559.82,Information Technology,Semiconductors & Semiconductor Equipment,190449650.0,AMD,US,Common Stock,ADVANCED MICRO DEVICES
US0846707026,2073390,Berkshire Hathaway Inc. Class B,USD,290608.0,0.692306,United States,509.77,Financials,Financial Services,148143250.0,BRK/B,US,Common Stock,BERKSHIRE HATHAWAY INC-CL B
US30233Q1085,BVSRPD7,Exxonmobil Holdings Corporation,USD,862638.0,0.659279,United States,163.54,Energy,Oil Gas & Consumable Fuels,141075820.0,XOM,US,Common Stock,EXXONMOBIL HOLDINGS CORP
US4781601046,2475833,Johnson & Johnson,USD,498544.0,0.629025,United States,269.99,Health Care,Pharmaceuticals,134601890.0,JNJ,US,Common Stock,JOHNSON & JOHNSON
NL0010273215,B929F46,ASML Holding NV,EUR,80986.0,0.627271,Netherlands,1446.0,Information Technology,Semiconductors & Semiconductor Equipment,134226620.0,ASML,,Common Stock,ASML HOLDING NV
US92826C8394,B2PZN04,Visa Inc. Class A,USD,345571.0,0.594763,United States,368.29,Financials,Financial Services,127270344.0,V,US,Common Stock,VISA INC-CLASS A SHARES
US4581401001,2463247,Intel Corporation,USD,918130.0,0.465962,United States,108.6,Information Technology,Semiconductors & Semiconductor Equipment,99708920.0,INTC,US,Common Stock,INTEL CORP
US9311421039,2936921,Walmart Inc.,USD,908319.0,0.453045,United States,106.73,Consumer Staples,Consumer Staples Distribution & Retail,96944890.0,WMT,US,Common Stock,WALMART INC
US00287Y1091,B92SR70,AbbVie Inc.,USD,366315.0,0.451866,United States,263.96,Health Care,Biotechnology,96692504.0,ABBV,US,Common Stock,ABBVIE INC
US57636Q1040,B121557,Mastercard Incorporated Class A,USD,168992.0,0.446391,United States,565.24,Financials,Financial Services,95521040.0,MA,US,Common Stock,MASTERCARD INC - A
US17275R1023,2198163,Cisco Systems Inc.,USD,823593.0,0.421486,United States,109.51,Information Technology,Communications Equipment,90191670.0,CSCO,US,Common Stock,CISCO SYSTEMS INC
US22160K1051,2701271,Costco Wholesale Corporation,USD,91505.0,0.382855,United States,895.31,Consumer Staples,Consumer Staples Distribution & Retail,81925340.0,COST,US,Common Stock,COSTCO WHOLESALE CORP
US69608A1088,BN78DQ4,Palantir Technologies Inc. Class A,USD,455825.0,0.378404,United States,177.64,Information Technology,Software,80972750.0,PLTR,US,Common Stock,PALANTIR TECHNOLOGIES INC-A
US1667641005,2838555,Chevron Corporation,USD,382682.0,0.374679,United States,209.51,Energy,Oil Gas & Consumable Fuels,80175704.0,CVX,US,Common Stock,CHEVRON CORP
US1491231015,2180201,Caterpillar Inc.,USD,96343.0,0.364233,United States,808.99,Industrials,Machinery,77940520.0,CAT,US,Common Stock,CATERPILLAR INC
US0605051046,2295677,Bank of America Corp,USD,1338903.0,0.361216,United States,57.73,Financials,Banks,77294870.0,BAC,US,Common Stock,BANK OF AMERICA CORP
US58933Y1055,2778844,Merck & Co. Inc.,USD,513974.0,0.352769,United States,146.87,Health Care,Pharmaceuticals,75487360.0,MRK,US,Common Stock,MERCK & CO. INC.
US5128073062,BSML4N7,Lam Research Corporation,USD,261668.0,0.35231,United States,288.11,Information Technology,Semiconductors & Semiconductor Equipment,75389170.0,LRCX,US,Common Stock,LAM RESEARCH CORP
US0382221051,2046552,Applied Materials Inc.,USD,165984.0,0.344844,United States,444.57,Information Technology,Semiconductors & Semiconductor Equipment,73791500.0,AMAT,US,Common Stock,APPLIED MATERIALS INC
GB0005405286,0540528,HSBC Holdings Plc,GBP,3568418.0,0.337032,United Kingdom,15.126,Financials,Banks,72119880.0,HSBA,LN,Common Stock,HSBC HOLDINGS PLC
US91324P1021,2917766,UnitedHealth Group Incorporated,USD,188834.0,0.3326,United States,376.9,Health Care,Health Care Providers & Services,71171540.0,UNH,US,Common Stock,UNITEDHEALTH GROUP INC
US1912161007,2206657,Coca-Cola Company,USD,793330.0,0.327179,United States,88.25,Consumer Staples,Beverages,70011380.0,KO,US,Common Stock,COCA-COLA CO/THE
US7427181091,2704407,Procter & Gamble Company,USD,476402.0,0.325913,United States,146.39,Consumer Staples,Household Products,69740490.0,PG,US,Common Stock,PROCTER & GAMBLE CO/THE
KYG875721634,BMMV2K8,Tencent Holdings Ltd,HKD,1298500.0,0.324041,China,419.0,Communication Services,Interactive Media & Services,69339830.0,700,HK,,
US3696043013,BL59CR9,GE Aerospace,USD,216943.0,0.318614,United States,314.27,Industrials,Aerospace & Defense,68178680.0,GE,US,Common Stock,GENERAL ELECTRIC
US64110L1061,2857817,Netflix Inc.,USD,870749.0,0.292128,United States,71.79,Communication Services,Entertainment,62511070.0,NFLX,US,Common Stock,NETFLIX INC
CH1499059983,BTMJD19,Roche Holding Ltd,CHF,143270.0,0.289897,Switzerland,356.8,Health Care,Pharmaceuticals,62033536.0,ROP,SW,Common Stock,ROCHE HOLDING AG
US4370761029,2434209,Home Depot Inc.,USD,206722.0,0.289798,United States,299.98,Consumer Discretionary,Specialty Retail,62012464.0,HD,US,Common Stock,HOME DEPOT INC
US6974351057,B87ZMX0,Palo Alto Networks Inc.,USD,170404.0,0.289532,United States,363.58,Information Technology,Software,61955490.0,PANW,US,Common Stock,PALO ALTO NETWORKS INC
US7181721090,B2PKRQ3,Philip Morris International Inc.,USD,322813.0,0.284548,United States,188.62,Consumer Staples,Tobacco,60888988.0,PM,US,Common Stock,PHILIP MORRIS INTERNATIONAL
US38141G1040,2407966,Goldman Sachs Group Inc.,USD,61546.0,0.270936,United States,942.0,Financials,Capital Markets,57976332.0,GS,US,Common Stock,GOLDMAN SACHS GROUP INC
CA7800871021,2754383,Royal Bank of Canada,CAD,282032.0,0.267636,Canada,284.45,Financials,Banks,57270136.0,RY,CN,Common Stock,ROYAL BANK OF CANADA
GB00BP6MXD84,BP6MXD8,Shell Plc,GBP,1204479.0,0.266165,United Kingdom,35.39,Energy,Oil Gas & Consumable Fuels,56955412.0,SHEL,LN,Common Stock,SHELL PLC
US80004C2008,BSNPZV3,Sandisk Corporation,USD,30951.0,0.25917,United States,1791.82,Information Technology,Technology Hardware Storage & Peripherals,55458620.0,SNDK,US,Common Stock,SANDISK CORP
US75513E1010,BM5M5Y3,RTX Corporation,USD,279303.0,0.253218,United States,194.0,Industrials,Aerospace & Defense,54184784.0,RTX,US,Common Stock,RTX CORP
US9497461015,2649100,Wells Fargo & Company,USD,629074.0,0.253176,United States,86.12,Financials,Banks,54175852.0,WFC,US,Common Stock,WELLS FARGO & CO
US68389X1054,2661568,Oracle Corporation,USD,361492.0,0.249362,United States,147.61,Information Technology,Software,53359836.0,ORCL,US,Common Stock,ORACLE CORP
US36828A1016,BP6H4Y1,GE Vernova Inc.,USD,56371.0,0.247715,United States,940.33,Industrials,Electrical Equipment,53007344.0,GEV,US,Common Stock,GE VERNOVA INC
GB0009895292,0989529,AstraZeneca PLC,GBP,316475.0,0.247014,United Kingdom,125.0,Health Care,Pharmaceuticals,52857256.0,AZN,LN,Common Stock,ASTRAZENECA PLC
CH0012005267,7103065,Novartis AG,CHF,376455.0,0.245726,Switzerland,115.1,Health Care,Pharmaceuticals,52581730.0,NOVN,SW,Common Stock,NOVARTIS AG-REG
JP3902900004,6335171,Mitsubishi UFJ Financial Group Inc.,JPY,2234100.0,0.240079,Japan,3620.0,Financials,Banks,51373296.0,8306,JP,Common Stock,MITSUBISHI UFJ FINANCIAL GRO
US8825081040,2885409,Texas Instruments Incorporated,USD,190183.0,0.236981,United States,266.64,Information Technology,Semiconductors & Semiconductor Equipment,50710396.0,TXN,US,Common Stock,TEXAS INSTRUMENTS INC
US8835561023,2886907,Thermo Fisher Scientific Inc.,USD,76493.0,0.232873,United States,651.45,Health Care,Life Sciences Tools & Services,49831364.0,TMO,US,Common Stock,THERMO FISHER SCIENTIFIC INC
US6174464486,2262314,Morgan Stanley,USD,244071.0,0.231062,United States,202.58,Financials,Capital Markets,49443904.0,MS,US,Common Stock,MORGAN STANLEY
US22788C1053,BJJP138,CrowdStrike Holdings Inc. Class A,USD,208026.0,0.231032,United States,237.65,Information Technology,Software,49437380.0,CRWD,US,Common Stock,CROWDSTRIKE HOLDINGS INC - A
KYG017191142,BK6YZP5,Alibaba Group Holding Limited,HKD,3543532.0,0.230675,China,109.3,Consumer Discretionary,Broadline Retail,49360932.0,9988,HK,,
CH0038863350,7123870,Nestle S.A.,CHF,532248.0,0.230213,Switzerland,76.27,Consumer Staples,Food Products,49262244.0,NESN,SW,Common Stock,NESTLE SA-REG
US4824801009,2480138,KLA Corporation,USD,273864.0,0.226517,United States,176.99,Information Technology,Semiconductors & Semiconductor Equipment,48471188.0,KLAC,US,Common Stock,KLA CORP
US1729674242,2297907,Citigroup Inc.,USD,354527.0,0.218314,United States,131.77,Financials,Banks,46716024.0,C,US,Common Stock,CITIGROUP INC
AU000000BHP4,6144690,BHP Group Ltd,AUD,1060613.0,0.215113,Australia,61.05,Materials,Metals & Mining,46031076.0,BHP,AU,Common Stock,BHP GROUP LTD
DE0007236101,5727973,Siemens AG,EUR,150331.0,0.212583,Germany,264.0,Industrials,Industrial Conglomerates,45489680.0,SIE,GY,Common Stock,SIEMENS AG-REG
US4592001014,2005973,International Business Machines Corporation,USD,197040.0,0.211372,United States,229.55,Information Technology,It Services,45230532.0,IBM,US,Common Stock,INTL BUSINESS MACHINES CORP
US0404132054,BL9XPM3,Arista Networks Inc,USD,224755.0,0.209425,United States,199.39,Information Technology,Communications Equipment,44813900.0,ANET,US,Common Stock,ARISTA NETWORKS INC
DE0007164600,4846288,SAP SE,EUR,212189.0,0.20813,Germany,183.12,Information Technology,Software,44536804.0,SAP,GY,Common Stock,SAP SE
IE000S9YS762,BNZHB81,Linde plc,USD,95773.0,0.206061,United States,460.4,Materials,Chemicals,44093890.0,LIN,US,Common Stock,LINDE PLC
US5738741041,BNKJSM5,Marvell Technology Inc.,USD,178925.0,0.204231,United States,244.25,Information Technology,Semiconductors & Semiconductor Equipment,43702430.0,MRVL,US,Common Stock,MARVELL TECHNOLOGY INC
TW0002454006,6372480,MediaTek Inc,TWD,290000.0,0.200965,Taiwan,4710.0,Information Technology,Semiconductors & Semiconductor Equipment,43003548.0,2454,TT,Common Stock,MEDIATEK INC
ES0113900J37,5705946,Banco Santander S.A.,EUR,2993888.0,0.200842,Spain,12.524,Financials,Banks,42977292.0,SAN,SM,Common Stock,BANCO SANTANDER SA
US0311621009,2023607,Amgen Inc.,USD,111413.0,0.200792,United States,385.65,Health Care,Biotechnology,42966424.0,AMGN,US,Common Stock,AMGEN INC
US92343V1044,2090571,Verizon Communications Inc.,USD,870205.0,0.195566,United States,48.09,Communication Services,Diversified Telecommunication Services,41848160.0,VZ,US,Common Stock,VERIZON COMMUNICATIONS INC
CA8911605092,2897222,Toronto-Dominion Bank,CAD,336297.0,0.192387,Canada,171.48,Financials,Banks,41168056.0,TD,CN,Common Stock,TORONTO-DOMINION BANK
US79466L3024,2310525,Salesforce Inc.,USD,169094.0,0.188008,United States,237.92,Information Technology,Software,40230844.0,CRM,US,Common Stock,SALESFORCE INC
US0320951017,2145084,Amphenol Corporation Class A,USD,518241.0,0.187815,United States,77.55,Information Technology,Electronic Equipment Instruments & Components,40189588.0,APH,US,Common Stock,AMPHENOL CORP-CL A
IE00BKVD2N49,BKVD2N4,Seagate Technology Holdings PLC,USD,46306.0,0.185841,United States,858.79,Information Technology,Technology Hardware Storage & Peripherals,39767130.0,STX,US,Common Stock,SEAGATE TECHNOLOGY HOLDINGS
DE0008404005,5231485,Allianz SE,EUR,77964.0,0.185127,Germany,443.3,Financials,Insurance,39614324.0,ALV,GY,Common Stock,ALLIANZ SE-REG
US7475251036,2714923,QUALCOMM Incorporated,USD,221612.0,0.184054,United States,177.72,Information Technology,Semiconductors & Semiconductor Equipment,39384884.0,QCOM,US,Common Stock,QUALCOMM INC
US3755581036,2369174,Gilead Sciences Inc.,USD,257354.0,0.180533,United States,150.11,Health Care,Biotechnology,38631410.0,GILD,US,Common Stock,GILEAD SCIENCES INC
US0326541051,2032067,Analog Devices Inc.,USD,101845.0,0.178822,United States,375.72,Information Technology,Semiconductors & Semiconductor Equipment,38265204.0,ADI,US,Common Stock,ANALOG DEVICES INC
FR0000121972,4834108,Schneider Electric SE,EUR,115766.0,0.177192,France,285.75,Industrials,Electrical Equipment,37916452.0,SU,FP,Common Stock,SCHNEIDER ELECTRIC SE
AU000000CBA7,6215035,Commonwealth Bank of Australia,AUD,349099.0,0.176784,Australia,152.43,Financials,Banks,37829230.0,CBA,AU,Common Stock,COMMONWEALTH BANK OF AUSTRAL
JP3633400001,6900643,Toyota Motor Corp.,JPY,1961500.0,0.176139,Japan,3025.0,Consumer Discretionary,Automobiles,37691200.0,7203,JP,Common Stock,TOYOTA MOTOR CORP
US2546871060,2270726,Walt Disney Company,USD,362390.0,0.173875,United States,102.67,Communication Services,Entertainment,37206580.0,DIS,US,Common Stock,WALT DISNEY CO/THE
US0028241000,2002305,Abbott Laboratories,USD,360862.0,0.17304,United States,102.61,Health Care,Health Care Equipment & Supplies,37028050.0,ABT,US,Common Stock,ABBOTT LABORATORIES
US00206R1023,2831811,AT&T Inc,USD,1457669.0,0.173025,United States,25.4,Communication Services,Diversified Telecommunication Services,37024790.0,T,US,Common Stock,AT&T INC
US7134481081,2681511,PepsiCo Inc.,USD,282081.0,0.17104,United States,129.75,Consumer Staples,Beverages,36600010.0,PEP,US,Common Stock,PEPSICO INC
FR0000120271,B15C557,TotalEnergies SE,EUR,398429.0,0.169282,France,79.32,Energy,Oil Gas & Consumable Fuels,36223810.0,TTE,FP,Common Stock,TOTALENERGIES SE
US8085131055,2779397,Charles Schwab Corp,USD,343750.0,0.169076,United States,105.25,Financials,Capital Markets,36179690.0,SCHW,US,Common Stock,SCHWAB (CHARLES) CORP
US24703L2025,BHKD3S6,Dell Technologies Inc. Class C,USD,63360.0,0.1682,United States,568.06,Information Technology,Technology Hardware Storage & Peripherals,35992280.0,DELL,US,Common Stock,DELL TECHNOLOGIES -C
US5801351017,2550707,McDonald's Corporation,USD,144674.0,0.167834,United States,248.24,Consumer Discretionary,Hotels Restaurants & Leisure,35913870.0,MCD,US,Common Stock,MCDONALD'S CORP
US65339F1012,2328915,NextEra Energy Inc.,USD,433074.0,0.162859,United States,80.47,Utilities,Electric Utilities,34849464.0,NEE,US,Common Stock,NEXTERA ENERGY INC
IE00B8KQN827,B8KQN82,Eaton Corp. Plc,USD,82041.0,0.162855,United States,424.77,Industrials,Electrical Equipment,34848556.0,ETN,US,Common Stock,EATON CORP PLC
US2441991054,2261203,Deere & Company,USD,50542.0,0.161554,United States,683.99,Industrials,Machinery,34570224.0,DE,US,Common Stock,DEERE & CO
GB00B63H8491,B63H849,Rolls-Royce Holdings plc,GBP,1766393.0,0.159929,United Kingdom,14.5,Industrials,Aerospace & Defense,34222404.0,RR/,LN,Common Stock,ROLLS-ROYCE HOLDINGS PLC
US9078181081,2914734,Union Pacific Corporation,USD,122403.0,0.159804,United States,279.37,Industrials,Ground Transportation,34195730.0,UNP,US,Common Stock,UNION PACIFIC CORP
US95040Q1040,BYVYHH4,Welltower Inc.,USD,149035.0,0.159402,United States,228.87,Real Estate,Health Care Reits,34109640.0,WELL,US,REIT,WELLTOWER INC
US0258161092,2026082,American Express Company,USD,109334.0,0.159189,United States,311.56,Financials,Consumer Finance,34064100.0,AXP,US,Common Stock,AMERICAN EXPRESS CO
US20825C1045,2685717,ConocoPhillips,USD,256845.0,0.158235,United States,131.83,Energy,Oil Gas & Consumable Fuels,33859876.0,COP,US,Common Stock,CONOCOPHILLIPS
ES0113211835,5501906,Banco Bilbao Vizcaya Argentaria S.A.,EUR,1178778.0,0.155705,Spain,24.66,Financials,Banks,33318506.0,BBVA,SM,Common Stock,BANCO BILBAO VIZCAYA ARGENTA
JP3890350006,6563024,Sumitomo Mitsui Financial Group Inc.,JPY,761500.0,0.154395,Japan,6830.0,Financials,Banks,33038242.0,8316,JP,Common Stock,SUMITOMO MITSUI FINANCIAL GR
CH0244767585,BRJL176,UBS Group AG,CHF,653163.0,0.153906,Switzerland,41.55,Financials,Capital Markets,32933588.0,UBSG,SW,Common Stock,UBS GROUP AG-REG
US09290D1019,BMZBBT7,BlackRock Inc.,USD,30723.0,0.153594,United States,1069.78,Financials,Capital Markets,32866850.0,BLK,US,Common Stock,BLACKROCK INC
CA82509L1076,BX865C7,Shopify Inc. Class A,CAD,255151.0,0.152656,Canada,179.34,Information Technology,It Services,32666176.0,SHOP,CN,Common Stock,SHOPIFY INC - CLASS A
US7170811035,2684703,Pfizer Inc.,USD,1177322.0,0.152182,United States,27.66,Health Care,Pharmaceuticals,32564726.0,PFE,US,Common Stock,PFIZER INC
JP3788600009,6429104,Hitachi Ltd.,JPY,925900.0,0.151831,Japan,5524.0,Industrials,Industrial Conglomerates,32489572.0,6501,JP,Common Stock,HITACHI LTD
US9581021055,2954699,Western Digital Corporation,USD,72459.0,0.149452,United States,441.36,Information Technology,Technology Hardware Storage & Peripherals,31980504.0,WDC,US,Common Stock,WESTERN DIGITAL CORP
JP3122400009,6870490,Advantest Corp.,JPY,156000.0,0.148421,Japan,32050.0,Information Technology,Semiconductors & Semiconductor Equipment,31759884.0,6857,JP,Common Stock,ADVANTEST CORP
JP3436100006,6770620,SoftBank Group Corp.,JPY,781600.0,0.146521,Japan,6315.0,Communication Services,Wireless Telecommunication Services,31353366.0,9984,JP,Common Stock,SOFTBANK GROUP CORP
US0970231058,2108601,Boeing Company,USD,157199.0,0.145603,United States,198.2,Industrials,Aerospace & Defense,31156842.0,BA,US,Common Stock,BOEING CO/THE
JP3571400005,6895675,Tokyo Electron Ltd.,JPY,92300.0,0.145519,Japan,53110.0,Information Technology,Semiconductors & Semiconductor Equipment,31138972.0,8035,JP,Common Stock,TOKYO ELECTRON LTD
JP3970300004,BQRRZ00,Recruit Holdings Co. Ltd.,JPY,279700.0,0.144057,Japan,17350.0,Industrials,Professional Services,30826074.0,6098,JP,Common Stock,RECRUIT HOLDINGS CO LTD
CH0012221716,7108899,ABB Ltd.,CHF,317026.0,0.143865,Switzerland,80.02,Industrials,Electrical Equipment,30785050.0,ABBN,SW,Common Stock,ABB LTD-REG
US46120E6023,2871301,Intuitive Surgical Inc.,USD,74400.0,0.136756,United States,393.33,Health Care,Health Care Equipment & Supplies,29263752.0,ISRG,US,Common Stock,INTUITIVE SURGICAL INC
US81762P1021,B80NXX8,ServiceNow Inc.,USD,215002.0,0.136114,United States,135.47,Information Technology,Software,29126320.0,NOW,US,Common Stock,SERVICENOW INC
DK0062498333,BP6KMJ1,Novo Nordisk A/S Class B,DKK,672558.0,0.135682,Denmark,281.55,Health Care,Pharmaceuticals,29033838.0,NOVOB,DC,Common Stock,NOVO NORDISK A/S-B
ES0144580Y14,B288C92,Iberdrola SA,EUR,1241038.0,0.134879,Spain,20.29,Utilities,Electric Utilities,28862078.0,IBE,SM,Common Stock,IBERDROLA SA
US8725401090,2989301,TJX Companies Inc,USD,225998.0,0.134383,United States,127.24,Consumer Discretionary,Specialty Retail,28755986.0,TJX,US,Common Stock,TJX COMPANIES INC
JP3236330001,BMGYJ02,Kioxia Holdings Corporation,JPY,82600.0,0.133806,Japan,54570.0,Information Technology,Semiconductors & Semiconductor Equipment,28632566.0,285A,JP,Common Stock,KIOXIA HOLDINGS CORP
JP3435000009,6821506,Sony Group Corporation,JPY,1214000.0,0.133233,Japan,3697.0,Consumer Discretionary,Household Durables,28509816.0,6758,JP,Common Stock,SONY GROUP CORP
NL0000235190,4012250,Airbus SE,EUR,125286.0,0.129775,France,193.38,Industrials,Aerospace & Defense,27769916.0,AIR,FP,Common Stock,AIRBUS SE
GB00BVZK7T90,BVZK7T9,Unilever PLC,GBP,448715.0,0.129473,United Kingdom,46.21,Consumer Staples,Personal Care Products,27705230.0,ULVR,LN,Common Stock,UNILEVER PLC
US2358511028,2250870,Danaher Corporation,USD,130592.0,0.129265,United States,211.81,Health Care,Life Sciences Tools & Services,27660692.0,DHR,US,Common Stock,DANAHER CORP
US09857L1089,BDRXDB4,Booking Holdings Inc.,USD,163367.0,0.128183,United States,167.9,Consumer Discretionary,Hotels Restaurants & Leisure,27429320.0,BKNG,US,Common Stock,BOOKING HOLDINGS INC
US6516391066,2636607,Newmont Corporation,USD,222006.0,0.128036,United States,123.41,Materials,Metals & Mining,27397760.0,NEM,US,Common Stock,NEWMONT CORP
US92532F1003,2931034,Vertex Pharmaceuticals Incorporated,USD,53596.0,0.127322,United States,508.34,Health Care,Biotechnology,27244990.0,VRTX,US,Common Stock,VERTEX PHARMACEUTICALS INC
FR0000073272,B058TZ6,Safran SA,EUR,73329.0,0.126869,France,323.0,Industrials,Aerospace & Defense,27148056.0,SAF,FP,Common Stock,SAFRAN SA
US1101221083,2126335,Bristol-Myers Squibb Company,USD,426186.0,0.125594,United States,63.06,Health Care,Pharmaceuticals,26875290.0,BMY,US,Common Stock,BRISTOL-MYERS SQUIBB CO
IT0005239360,BYMXPS7,UniCredit S.p.A.,EUR,285033.0,0.123866,Italy,81.13,Financials,Banks,26505564.0,UCG,IM,Common Stock,UNICREDIT SPA
US90353T1007,BK6N347,Uber Technologies Inc.,USD,375424.0,0.123688,United States,70.5,Industrials,Ground Transportation,26467392.0,UBER,US,Common Stock,UBER TECHNOLOGIES INC
DE000ENER6Y0,BMTVQK9,Siemens Energy AG,EUR,164701.0,0.123686,Germany,140.2,Industrials,Electrical Equipment,26466998.0,ENR,GY,Common Stock,SIEMENS ENERGY AG
US74340W1036,B44WZD7,Prologis Inc.,USD,194643.0,0.122652,United States,134.84,Real Estate,Industrial Reits,26245662.0,PLD,US,REIT,PROLOGIS INC
US7433151039,2705024,Progressive Corporation,USD,122880.0,0.12259,United States,213.48,Financials,Insurance,26232422.0,PGR,US,Common Stock,PROGRESSIVE CORP
US78409V1044,BYV2325,S&P Global Inc.,USD,63747.0,0.120746,United States,405.32,Financials,Capital Markets,25837934.0,SPGI,US,Common Stock,S&P GLOBAL INC
JP3885780001,6591014,Mizuho Financial Group Inc.,JPY,477500.0,0.120415,Japan,8495.0,Financials,Banks,25766950.0,8411,JP,Common Stock,MIZUHO FINANCIAL GROUP INC
US91913Y1001,2041364,Valero Energy Corporation,USD,62009.0,0.119761,United States,413.28,Energy,Oil Gas & Consumable Fuels,25627080.0,VLO,US,Common Stock,VALERO ENERGY CORP
US56585A1025,B3K3L40,Marathon Petroleum Corporation,USD,59774.0,0.118688,United States,424.89,Energy,Oil Gas & Consumable Fuels,25397374.0,MPC,US,Common Stock,MARATHON PETROLEUM CORP
US2193501051,2224701,Corning Inc,USD,168481.0,0.118205,United States,150.13,Information Technology,Electronic Equipment Instruments & Components,25294052.0,GLW,US,Common Stock,CORNING INC
IE00BTN1Y115,BTN1Y11,Medtronic Plc,USD,268122.0,0.115438,United States,92.13,Health Care,Health Care Equipment & Supplies,24702080.0,MDT,US,Common Stock,MEDTRONIC PLC
US7010941042,2671501,Parker-Hannifin Corporation,USD,26108.0,0.11512,United States,943.54,Industrials,Machinery,24633942.0,PH,US,Common Stock,PARKER HANNIFIN CORP
SG1L01001701,6175203,DBS Group Holdings Ltd,SGD,408012.0,0.11465,Singapore,76.86,Financials,Banks,24533388.0,DBS,SP,Common Stock,DBS GROUP HOLDINGS LTD
CA0636711016,2076009,Bank of Montreal,CAD,140058.0,0.114154,Canada,244.31,Financials,Banks,24427164.0,BMO,CN,Common Stock,BANK OF MONTREAL
US14040H1059,2654461,Capital One Financial Corp,USD,120648.0,0.114133,United States,202.43,Financials,Consumer Finance,24422774.0,COF,US,Common Stock,CAPITAL ONE FINANCIAL CORP
CH0044328745,B3BQMF6,Chubb Limited,USD,71253.0,0.113427,United States,340.64,Financials,Insurance,24271622.0,CB,US,Common Stock,CHUBB LTD
US02209S1033,2692632,Altria Group Inc.,USD,345438.0,0.112227,United States,69.52,Consumer Staples,Tobacco,24014850.0,MO,US,Common Stock,ALTRIA GROUP INC
GB0007980591,0798059,BP PLC,GBP,3203262.0,0.111749,United Kingdom,5.587,Energy,Oil Gas & Consumable Fuels,23912572.0,BP/,LN,Common Stock,BP PLC
FR0000131104,7309681,BNP Paribas S.A. Class A,EUR,206081.0,0.111203,France,100.74,Financials,Banks,23795800.0,BNP,FP,Common Stock,BNP PARIBAS
FR0000121014,4061412,LVMH Moet Hennessy Louis Vuitton SE,EUR,51171.0,0.110405,France,402.8,Consumer Discretionary,Textiles Apparel & Luxury Goods,23625106.0,MC,FP,Common Stock,LVMH MOET HENNESSY LOUIS VUI
FR0000120073,B1YXBJ7,Air Liquide SA,EUR,125942.0,0.110068,France,163.16,Materials,Chemicals,23552918.0,AI,FP,Common Stock,AIR LIQUIDE SA
GB0002875804,0287580,British American Tobacco p.l.c.,GBP,417903.0,0.109492,United Kingdom,41.96,Consumer Staples,Tobacco,23429670.0,BATS,LN,Common Stock,BRITISH AMERICAN TOBACCO PLC
US1266501006,2577609,CVS Health Corporation,USD,263260.0,0.109297,United States,88.84,Health Care,Health Care Providers & Services,23388018.0,CVS,US,Common Stock,CVS HEALTH CORP
