series,year,value,unit,source,url,note
화장품 수출액(월),2026-07,1351,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +37.8%
화장품 수출액(월),2026-08,1312,USD mn,산업통상부 2026-08 수출입동향 참고표,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +52.1%
수출 중국,2023,2777.378,USD mn,관세청 (2023-24 식약처 붙임9 / 2025 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",2025 YoY -19.5%
수출 중국,2024,2492.073,USD mn,관세청 (2023-24 식약처 붙임9 / 2025 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",2025 YoY -19.5%
수출 중국,2025,2014,USD mn,관세청 (2023-24 식약처 붙임9 / 2025 화장품산업연구원),"https://www.cosmorning.com/news/article.html?no=52128 (대한화장품산업연구원, 관세청 기준, 2026-02-03)",2025 YoY -19.5%
수출 미국,2023,1214.304,USD mn,관세청 (2023-24 식약처 붙임9 / 2025 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",2025 YoY +14.2~15.1%
수출 미국,2024,1899.196,USD mn,관세청 (2023-24 식약처 붙임9 / 2025 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",2025 YoY +14.2~15.1%
수출 미국,2025,2186,USD mn,관세청 (2023-24 식약처 붙임9 / 2025 화장품산업연구원),"https://www.cosmorning.com/news/article.html?no=52128 (대한화장품산업연구원, 관세청 기준, 2026-02-03)",2025 YoY +14.2~15.1%
수출 일본,2023,801.857,USD mn,관세청 (식약처 / 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",2025 YoY +5.0%
수출 일본,2024,1035.583,USD mn,관세청 (식약처 / 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",2025 YoY +5.0%
수출 일본,2025,1087,USD mn,관세청 (식약처 / 화장품산업연구원),"https://www.cosmorning.com/news/article.html?no=52128 (대한화장품산업연구원, 관세청 기준, 2026-02-03)",2025 YoY +5.0%
수출 홍콩,2023,501.915,USD mn,관세청 (식약처 / 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
수출 홍콩,2024,579.689,USD mn,관세청 (식약처 / 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
수출 홍콩,2025,702,USD mn,관세청 (식약처 / 화장품산업연구원),"https://www.cosmorning.com/news/article.html?no=52128 (대한화장품산업연구원, 관세청 기준, 2026-02-03)",
수출 베트남,2023,497.676,USD mn,관세청 (식약처 / 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
수출 베트남,2024,529.357,USD mn,관세청 (식약처 / 화장품산업연구원),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
수출 베트남,2025,477,USD mn,관세청 (식약처 / 화장품산업연구원),"https://www.cosmorning.com/news/article.html?no=52128 (대한화장품산업연구원, 관세청 기준, 2026-02-03)",
수출 유럽(대륙 합계),2024,1400,USD mn,식약처 2024 통계 본문 (+49.7%),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
수출 유럽(대륙 합계),2023,935,USD mn,내 계산 = 2024 14억 / 1.497,,추정
수출 유럽(대륙 합계),2025,,USD mn,확인 안 됨,,국가별만 확보: 폴란드 282(+111.7%) 영국 230(+54.7%) 네덜란드 140(+42.7%) 프랑스 130(+73.6%) 독일 90(+43.3%)
수출 북미(대륙 합계),2024,2000,USD mn,식약처 2024 통계 본문 (+56.5%),"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
수출 폴란드,2025,282,USD mn,식약처 2026-01-09 (뷰티누리/코스모닝 인용),https://www.beautynury.com/m/news/view/110396/cat/20 (식약처 2026-01-09),
수출 영국,2025,230,USD mn,식약처 2026-01-09 (뷰티누리/코스모닝 인용),https://www.beautynury.com/m/news/view/110396/cat/20 (식약처 2026-01-09),
수출 네덜란드,2025,140,USD mn,식약처 2026-01-09 (뷰티누리/코스모닝 인용),https://www.beautynury.com/m/news/view/110396/cat/20 (식약처 2026-01-09),
수출 프랑스,2025,130,USD mn,식약처 2026-01-09 (뷰티누리/코스모닝 인용),https://www.beautynury.com/m/news/view/110396/cat/20 (식약처 2026-01-09),
수출 독일,2025,90,USD mn,식약처 2026-01-09 (뷰티누리/코스모닝 인용),https://www.beautynury.com/m/news/view/110396/cat/20 (식약처 2026-01-09),
수출 UAE,2025,290,USD mn,식약처 2026-01-09 (뷰티누리/코스모닝 인용),https://www.beautynury.com/m/news/view/110396/cat/20 (식약처 2026-01-09),
수출 미국 (8/1~25),2026-08,230,USD mn,산업통상부,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +58.0%
수출 EU (8/1~25),2026-08,130,USD mn,산업통상부,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +106.6%
수출 중국 (8/1~25),2026-08,120,USD mn,산업통상부,https://files-scs.pstatic.net/2026/09/01/ayvUuMJahB/2026년 8월 수출입동향_3보_최종.pdf (산업통상부 2026-09-01),YoY +5.3%
미국 수입화장품 중 한국 비중,2024,22.2,%,USITC (식약처 인용) — 프랑스 16.3% 제치고 1위,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
일본 수입화장품 중 한국 비중,2024,30.1,%,일본재무성 (식약처 인용) — 3년 연속 1위,"https://kcia.or.kr/inc/down.php?dir=BOARD&file_name=202505_174830652594232_2.pdf (식약처 보도자료 2025-05-27, mfds.go.kr/brd/m_99/view.do?seq=49077)",
인디브랜드 매출 에이피알(연결),2023,5238,억원 (KRW 100mn),DART 사업보고서 20260323001257,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 에이피알(연결),2024,7228,억원 (KRW 100mn),DART 사업보고서 20260323001257,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 에이피알(연결),2025,15273,억원 (KRW 100mn),DART 사업보고서 20260323001257,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 달바글로벌(연결),2023,2008,억원 (KRW 100mn),DART 연결 (투자설명서·사업보고서),C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 달바글로벌(연결),2024,3091,억원 (KRW 100mn),DART 연결 (투자설명서·사업보고서),C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 달바글로벌(연결),2025,5197,억원 (KRW 100mn),DART 연결 (투자설명서·사업보고서),C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 구다이글로벌-조선미녀(별도),2023,1394,억원 (KRW 100mn),DART 별도 감사보고서 20260413002195,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 구다이글로벌-조선미녀(별도),2024,3217,억원 (KRW 100mn),DART 별도 감사보고서 20260413002195,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 구다이글로벌-조선미녀(별도),2025,4565,억원 (KRW 100mn),DART 별도 감사보고서 20260413002195,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 더파운더즈-아누아(별도),2023,1432,억원 (KRW 100mn),DART 별도 감사보고서 20260430000049,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 더파운더즈-아누아(별도),2024,4278,억원 (KRW 100mn),DART 별도 감사보고서 20260430000049,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 더파운더즈-아누아(별도),2025,7156,억원 (KRW 100mn),DART 별도 감사보고서 20260430000049,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 크레이버-SKIN1004(연결),2023,956,억원 (KRW 100mn),DART 연결 20260403002808,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 크레이버-SKIN1004(연결),2024,3210,억원 (KRW 100mn),DART 연결 20260403002808,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 크레이버-SKIN1004(연결),2025,6780,억원 (KRW 100mn),DART 연결 20260403002808,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 브이티(연결),2023,2955,억원 (KRW 100mn),DART 연결 (2025 약업신문 2026-03-25),C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 브이티(연결),2024,4317,억원 (KRW 100mn),DART 연결 (2025 약업신문 2026-03-25),C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 브이티(연결),2025,4372,억원 (KRW 100mn),DART 연결 (2025 약업신문 2026-03-25),C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 마녀공장(연결),2023,1050,억원 (KRW 100mn),DART 연결,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 마녀공장(연결),2024,1279,억원 (KRW 100mn),DART 연결,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 마녀공장(연결),2025,1130,억원 (KRW 100mn),DART 연결,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 티르티르(연결),2023,1674,억원 (KRW 100mn),DART 연결 20240423000595 / 20250414001029 / 20260406001270,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 티르티르(연결),2024,2736,억원 (KRW 100mn),DART 연결 20240423000595 / 20250414001029 / 20260406001270,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 티르티르(연결),2025,3053,억원 (KRW 100mn),DART 연결 20240423000595 / 20250414001029 / 20260406001270,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 토리든(별도),2023,673,억원 (KRW 100mn),DART 감사보고서 20250407002451 / 20260407003222,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 토리든(별도),2024,1860,억원 (KRW 100mn),DART 감사보고서 20250407002451 / 20260407003222,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 매출 토리든(별도),2025,2743,억원 (KRW 100mn),DART 감사보고서 20250407002451 / 20260407003222,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 9사 매출 합계,2023,17380,억원 (KRW 100mn),"내 계산 (region_data.json 합산; 구다이는 별도 조선미녀만, 티르티르·크레이버 별도 계상)",C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 9사 매출 합계,2024,31216,억원 (KRW 100mn),"내 계산 (region_data.json 합산; 구다이는 별도 조선미녀만, 티르티르·크레이버 별도 계상)",C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 9사 매출 합계,2025,50269,억원 (KRW 100mn),"내 계산 (region_data.json 합산; 구다이는 별도 조선미녀만, 티르티르·크레이버 별도 계상)",C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 9사 매출 합계 YoY,2024,79.6,%,내 계산,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
인디브랜드 9사 매출 합계 YoY,2025,61.0,%,내 계산,C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
"코스알엑스 매출(참고, 9사 외)",2025,4562,억원 (KRW 100mn),"DART FY2025 20260402000034 (2024 5,898 → -22.7%)",C:/Users/user99i1/AppData/Local/Temp/claude/dk/region_data.json,
ODM 연결매출 코스메카코리아,2021,396.5,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220317000475,
ODM 연결매출 코스메카코리아,2022,399.4,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001060,
ODM 연결매출 코스메카코리아,2023,470.7,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001991,
ODM 연결매출 코스메카코리아,2024,524.3,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000012,
ODM 연결매출 코스메카코리아,2025 1H,280.1,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251114002682,
ODM 연결매출 코스메카코리아,2025,640.9,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260330001688,
ODM 연결매출 코스메카코리아,2026 1H,411.2,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260814003595,
ODM 연결매출 한국콜마,2021,1586.3,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220317001031,
ODM 연결매출 한국콜마,2022,1865.7,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230322001251,
ODM 연결매출 한국콜마,2023,2155.7,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001772,
ODM 연결매출 한국콜마,2024,2452.1,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001173,
ODM 연결매출 한국콜마,2025 1H,1383.9,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003001,
ODM 연결매출 한국콜마,2025,2722.4,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001196,
ODM 연결매출 한국콜마,2026 1H,1589.3,KRW bn,DART 반기보고서 CFS 누적 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260814002721,
ODM 연결매출 코스맥스,2021,1591.5,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220816001048,
ODM 연결매출 코스맥스,2022,1600.1,KRW bn,DART fnlttSinglAcnt CFS 매출액,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230322001169,
