company,brand,type,year,rev_eok,ebit_eok,fs,rcept_no,source,note
티르티르,티르티르,brand,2021,465.6,56.5,별도,20230404002160,DART 감사보고서,
티르티르,티르티르,brand,2022,1236.7,196.2,연결,20240423000595,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
티르티르,티르티르,brand,2023,1674.5,286.4,연결,20250414001029,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 1719.3/영업이익 294.2억
티르티르,티르티르,brand,2024,2735.9,391.0,연결,20260406001270,DART 감사보고서,
티르티르,티르티르,brand,2025,3052.9,25.1,연결,20260406001270,DART 감사보고서,
토리든,토리든,brand,2023,673.1,98.5,별도,20250407002451,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
토리든,토리든,brand,2024,1859.6,519.9,별도,20260407003222,DART 감사보고서,
토리든,토리든,brand,2025,2742.8,604.2,별도,20260407003222,DART 감사보고서,
비나우,넘버즈인·퓌,brand,2022,592.0,123.3,별도,20241119000102,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
비나우,넘버즈인·퓌,brand,2023,1140.3,237.9,연결,20250401002664,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
비나우,넘버즈인·퓌,brand,2024,2664.3,750.6,연결,20260331002615,DART 감사보고서,
비나우,넘버즈인·퓌,brand,2025,3249.6,670.8,연결,20260331002615,DART 감사보고서,
서린컴퍼니,라운드랩,brand,2020,363.5,163.4,별도,20220413002379,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
서린컴퍼니,라운드랩,brand,2021,530.0,220.7,별도,20230414000066,DART 감사보고서,
서린컴퍼니,라운드랩,brand,2022,572.7,219.1,별도,20240329000180,DART 감사보고서,
서린컴퍼니,라운드랩,brand,2023,1155.9,552.5,별도,20240329000180,DART 감사보고서,합병 전 구 서린컴퍼니 별도 기준
서린컴퍼니,라운드랩,brand,2024,1843.5,825.4,연결,20260410002193,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치; 2024-07-01 인수목적법인과 합병. FY2025 연결보고서의 전기(감사받지 않음) 수치. 별도 FY2024(935.2억)는 합병 후 7~12월만 포함
서린컴퍼니,라운드랩,brand,2025,2269.0,845.8,연결,20260410002193,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2015,144.6,6.3,연결,20170404001781,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2016,201.8,-5.8,연결,20180402000502,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2017,265.0,20.7,연결,20190329000842,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 286.8/영업이익 20.8억
고운세상코스메틱,닥터지,brand,2018,992.3,202.2,연결,20200316000816,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2019,1532.7,333.2,연결,20210405002576,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2020,1555.0,327.0,연결,20220331002038,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2021,1766.2,262.7,연결,20230324000288,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2022,1971.0,310.9,연결,20240329003211,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2023,1984.0,292.8,연결,20250325000425,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2024,2302.6,296.0,연결,20260410000125,DART 감사보고서,
고운세상코스메틱,닥터지,brand,2025,2327.8,212.9,연결,20260410000125,DART 감사보고서,
코스알엑스,코스알엑스,brand,2018,365.8,101.9,별도,20200402000626,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
코스알엑스,코스알엑스,brand,2019,477.7,125.9,별도,20210413000696,DART 감사보고서,
코스알엑스,코스알엑스,brand,2020,802.5,222.7,별도,20220404003183,DART 감사보고서,
코스알엑스,코스알엑스,brand,2021,1233.5,226.6,별도,20230324000204,DART 감사보고서,
코스알엑스,코스알엑스,brand,2022,2043.5,510.1,별도,20240405001093,DART 감사보고서,
코스알엑스,코스알엑스,brand,2023,4861.9,1612.1,별도,20250331001502,DART 감사보고서,
코스알엑스,코스알엑스,brand,2024,5898.5,1769.7,별도,20260402000034,DART 감사보고서,
코스알엑스,코스알엑스,brand,2025,4562.5,1140.2,별도,20260402000034,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2015,2400.5,584.3,연결,20170331005161,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
엘앤피코스메틱,메디힐,brand,2016,4015.2,1287.3,연결,20180404000307,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2017,3285.8,813.1,연결,20190625000475,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2018,3207.0,434.1,연결,20200410003506,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2019,2348.6,-134.9,연결,20210420000124,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2020,2241.9,95.8,연결,20220622000068,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2021,2641.5,203.7,연결,20230427000148,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2022,2722.8,233.9,연결,20240430000885,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2023,2817.4,134.9,연결,20250422000245,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2024,3879.9,267.6,연결,20260420000465,DART 감사보고서,
엘앤피코스메틱,메디힐,brand,2025,3630.8,84.4,연결,20260420000465,DART 감사보고서,
카버코리아,AHC,brand,2015,1564.9,483.1,별도,20170331000233,DART 감사보고서,
카버코리아,AHC,brand,2016,4295.0,1807.2,별도,20180406001708,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 4295.0/영업이익 1800.4억
카버코리아,AHC,brand,2017,5201.2,1725.2,별도,20190404001296,DART 감사보고서,
카버코리아,AHC,brand,2018,6579.8,1623.8,별도,20200407002483,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 6590.0/영업이익 1621.5억
카버코리아,AHC,brand,2019,6079.5,1191.7,별도,20210407000327,DART 감사보고서,
카버코리아,AHC,brand,2020,4643.6,864.0,별도,20220401002821,DART 감사보고서,
카버코리아,AHC,brand,2021,4505.1,816.3,별도,20230405001964,DART 감사보고서,
카버코리아,AHC,brand,2022,4212.2,835.2,별도,20240409002640,DART 감사보고서,
카버코리아,AHC,brand,2023,3146.8,628.3,별도,20250403002544,DART 감사보고서,
카버코리아,AHC,brand,2024,2782.0,440.9,별도,20260409001415,DART 감사보고서,
카버코리아,AHC,brand,2025,2319.9,352.3,별도,20260409001415,DART 감사보고서,
해브앤비,닥터자르트,brand,2015,863.3,184.3,별도,20170410002412,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2016,2371.7,721.8,별도,20180330001014,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2017,3627.9,936.0,별도,20190329003196,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2018,4690.6,1118.5,연결,20200406001267,DART 감사보고서,6월 결산(FY2021부터); year=결산연도; 해당연도 보고서 없음 → 차기 보고서의 전기 수치
해브앤비,닥터자르트,brand,2019,6346.9,1214.4,연결,20210409000945,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2020,5123.2,720.7,연결,20211007000147,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2021,2956.3,332.0,연결,20221012000025,DART 감사보고서,6월 결산(FY2021부터); year=결산연도; 6개월 결산기(2021.1.1~6.30) — 연간 아님
해브앤비,닥터자르트,brand,2022,4762.1,890.7,연결,20231005000434,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2023,3326.8,397.7,연결,20241011000212,DART 감사보고서,6월 결산(FY2021부터); year=결산연도; 재작성값 사용(차기 보고서 전기); 최초 공시 매출 3326.8/영업이익 398.5억
해브앤비,닥터자르트,brand,2024,2329.2,-143.5,연결,20251014000162,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
해브앤비,닥터자르트,brand,2025,1788.3,-231.8,연결,20251014000162,DART 감사보고서,6월 결산(FY2021부터); year=결산연도
난다,3CE/스타일난다,brand,2015,1089.4,235.3,별도,20170414000284,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2016,1286.6,278.3,별도,20180413000652,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2017,1674.7,254.3,별도,20190327001291,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2018,1967.4,359.7,별도,20200413002809,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2019,2695.1,618.0,별도,20210406000410,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2020,2563.7,443.3,별도,20220406000451,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2021,2273.2,323.6,별도,20230407001823,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2022,2184.8,327.8,별도,20240405003453,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
난다,3CE/스타일난다,brand,2023,2248.8,395.9,별도,20240405003453,DART 감사보고서,FY2023 이후 DART 감사보고서 없음
포컴퍼니,아비브,brand,2020,430.8,63.2,별도,20220408000201,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
포컴퍼니,아비브,brand,2021,464.4,-60.0,별도,20230412000641,DART 감사보고서,
포컴퍼니,아비브,brand,2022,518.2,9.7,별도,20240409002332,DART 감사보고서,
포컴퍼니,아비브,brand,2023,601.9,82.7,별도,20250409002608,DART 감사보고서,
포컴퍼니,아비브,brand,2024,846.4,25.4,별도,20260410000734,DART 감사보고서,
포컴퍼니,아비브,brand,2025,1658.3,144.4,별도,20260410000734,DART 감사보고서,
파켓,믹순,brand,2023,212.0,3.0,별도,20250408000112,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
파켓,믹순,brand,2024,479.3,6.8,별도,20260326000056,DART 감사보고서,
파켓,믹순,brand,2025,837.1,47.2,별도,20260326000056,DART 감사보고서,
뷰티셀렉션,바이오던스,brand,2022,311.8,-19.3,별도,20240403000741,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
뷰티셀렉션,바이오던스,brand,2023,415.7,-46.7,별도,20250403003498,DART 감사보고서,
뷰티셀렉션,바이오던스,brand,2024,1357.2,267.8,별도,20260401001126,DART 감사보고서,
뷰티셀렉션,바이오던스,brand,2025,2481.3,403.4,별도,20260401001126,DART 감사보고서,
스킨푸드,스킨푸드,brand,2015,1639.5,-128.8,연결,20170414002176,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 1691.7/영업이익 -128.8억
스킨푸드,스킨푸드,brand,2016,1690.3,-52.1,연결,20180413002183,DART 감사보고서,
스킨푸드,스킨푸드,brand,2017,1269.5,-98.4,연결,20180413002183,DART 감사보고서,
스킨푸드,스킨푸드,brand,2018,652.9,-197.9,별도,20200408000089,DART 감사보고서,
스킨푸드,스킨푸드,brand,2019,190.0,-62.0,별도,20210406001054,DART 감사보고서,
스킨푸드,스킨푸드,brand,2020,175.6,-42.2,별도,20220408001889,DART 감사보고서,
스킨푸드,스킨푸드,brand,2021,319.9,-36.9,별도,20220408001889,DART 감사보고서,
스킨푸드,스킨푸드,brand,2022,375.3,48.9,별도,20240401002463,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
스킨푸드,스킨푸드,brand,2023,547.2,92.6,별도,20250401001036,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 589.4/영업이익 89.5억
스킨푸드,스킨푸드,brand,2024,780.9,104.8,별도,20260331000980,DART 감사보고서,
스킨푸드,스킨푸드,brand,2025,809.2,98.8,별도,20260331000980,DART 감사보고서,
네이처리퍼블릭,네이처리퍼블릭,brand,2015,2847.7,163.1,별도,20170331004502,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2016,2618.3,-95.6,별도,20180330002892,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2017,2285.1,-38.2,별도,20190408002548,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용; 재작성값 사용(차기 보고서 전기); 최초 공시 매출 2226.6/영업이익 -16.8억
네이처리퍼블릭,네이처리퍼블릭,brand,2018,2350.3,-189.8,별도,20200330004747,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2019,1899.3,-128.3,별도,20210331002691,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2020,1384.1,-203.5,별도,20220331000930,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2021,1255.2,-37.5,별도,20230331004388,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2022,1448.6,2.0,별도,20240409003286,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2023,1439.4,3.8,별도,20250331000864,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2024,1140.6,-50.7,별도,20260731000643,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
네이처리퍼블릭,네이처리퍼블릭,brand,2025,884.3,-70.7,별도,20260731000643,DART 사업보고서,비상장이나 사업보고서 제출법인 → 사업보고서 내 손익계산서(별도) 사용
이니스프리,이니스프리,brand,2015,5920.6,1256.2,별도,20170331000083,DART 감사보고서,
이니스프리,이니스프리,brand,2016,7678.8,1964.9,별도,20180327000222,DART 감사보고서,
이니스프리,이니스프리,brand,2017,6420.2,1078.8,별도,20190326000273,DART 감사보고서,
이니스프리,이니스프리,brand,2018,5989.2,804.4,별도,20200402001575,DART 감사보고서,
이니스프리,이니스프리,brand,2019,5518.6,626.0,별도,20210401003240,DART 감사보고서,
이니스프리,이니스프리,brand,2020,3486.0,69.8,별도,20220329000435,DART 감사보고서,
이니스프리,이니스프리,brand,2021,3071.7,-9.6,별도,20230328000176,DART 감사보고서,
이니스프리,이니스프리,brand,2022,2997.4,324.0,별도,20240326000053,DART 감사보고서,
이니스프리,이니스프리,brand,2023,2738.0,103.2,별도,20250327000154,DART 감사보고서,
이니스프리,이니스프리,brand,2024,2246.1,16.4,별도,20260401003769,DART 감사보고서,
이니스프리,이니스프리,brand,2025,2098.5,133.5,별도,20260401003769,DART 감사보고서,
에뛰드,에뛰드,brand,2015,2577.8,23.5,별도,20170328000139,DART 감사보고서,
에뛰드,에뛰드,brand,2016,3166.3,294.9,별도,20180326000617,DART 감사보고서,
에뛰드,에뛰드,brand,2017,2590.5,41.8,별도,20190327000677,DART 감사보고서,
에뛰드,에뛰드,brand,2018,2182.8,-262.2,별도,20200401000374,DART 감사보고서,
에뛰드,에뛰드,brand,2019,1799.6,-185.5,별도,20210331000413,DART 감사보고서,
에뛰드,에뛰드,brand,2020,1112.9,-179.8,별도,20220329000476,DART 감사보고서,
에뛰드,에뛰드,brand,2021,1056.2,-96.1,별도,20230328000122,DART 감사보고서,
에뛰드,에뛰드,brand,2022,1059.9,50.1,별도,20240328000132,DART 감사보고서,
에뛰드,에뛰드,brand,2023,1109.8,148.0,별도,20250328000308,DART 감사보고서,
에뛰드,에뛰드,brand,2024,1077.3,90.9,별도,20260331004546,DART 감사보고서,
에뛰드,에뛰드,brand,2025,1150.9,99.7,별도,20260331004546,DART 감사보고서,
더샘인터내셔날,더샘,brand,2015,716.3,-10.6,별도,20170320000124,DART 감사보고서,
더샘인터내셔날,더샘,brand,2016,1400.3,204.2,별도,20180327000395,DART 감사보고서,
더샘인터내셔날,더샘,brand,2017,1320.4,144.1,별도,20190403001808,DART 감사보고서,
더샘인터내셔날,더샘,brand,2018,1234.9,-6.9,별도,20200331001439,DART 감사보고서,
더샘인터내셔날,더샘,brand,2019,1056.7,-123.6,별도,20210329000633,DART 감사보고서,
더샘인터내셔날,더샘,brand,2020,550.2,-112.5,별도,20220331002512,DART 감사보고서,
더샘인터내셔날,더샘,brand,2021,509.1,4.5,별도,20230330000103,DART 감사보고서,
더샘인터내셔날,더샘,brand,2022,520.8,29.9,별도,20240329000908,DART 감사보고서,
더샘인터내셔날,더샘,brand,2023,624.1,57.1,별도,20250328000678,DART 감사보고서,
더샘인터내셔날,더샘,brand,2024,723.5,56.6,별도,20260331001201,DART 감사보고서,
더샘인터내셔날,더샘,brand,2025,693.7,35.6,별도,20260331001201,DART 감사보고서,
라카코스메틱스,라카,brand,2024,228.6,65.2,별도,20260406003334,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
라카코스메틱스,라카,brand,2025,514.5,51.6,별도,20260406003334,DART 감사보고서,
데이지크,데이지크,brand,2023,510.3,28.0,별도,20250403002496,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
데이지크,데이지크,brand,2024,816.5,50.3,별도,20260402000926,DART 감사보고서,
데이지크,데이지크,brand,2025,854.4,-3.9,별도,20260402000926,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2018,225.7,71.8,별도,20200409000857,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
위시컴퍼니,디어클레어스,brand,2019,296.0,70.9,별도,20210408000606,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2020,513.8,154.0,별도,20220412001301,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2021,615.7,140.3,별도,20230413000523,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2022,555.7,85.0,별도,20240412000216,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2023,721.8,40.9,별도,20250409000715,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2024,857.3,25.1,별도,20260406003337,DART 감사보고서,
위시컴퍼니,디어클레어스,brand,2025,921.7,15.5,별도,20260406003337,DART 감사보고서,
씨제이올리브영,올리브영,retail,2019,3659.4,167.2,연결,20230131000142,DART 감사보고서,2개월(2019.11.1 분할설립~12.31) — 연간 아님; 이전은 CJ올리브네트웍스 내 사업부
씨제이올리브영,올리브영,retail,2020,18738.6,1001.8,연결,20230213000040,DART 감사보고서,
씨제이올리브영,올리브영,retail,2021,21191.9,1377.6,연결,20230329000119,DART 감사보고서,
씨제이올리브영,올리브영,retail,2022,27809.1,2713.7,연결,20240329003215,DART 감사보고서,
씨제이올리브영,올리브영,retail,2023,38682.4,4607.0,연결,20250331004292,DART 감사보고서,
씨제이올리브영,올리브영,retail,2024,47934.8,5993.1,연결,20260327000349,DART 감사보고서,
씨제이올리브영,올리브영,retail,2025,58538.7,7328.2,연결,20260327000349,DART 감사보고서,
지피클럽,JM솔루션,brand,2015,224.7,1.8,별도,20170620000148,DART 감사보고서,연결에 비화장품 자회사 포함 가능; 해당연도 보고서 없음 → 차기 보고서의 전기 수치
지피클럽,JM솔루션,brand,2016,483.3,32.2,별도,20180409000443,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2017,883.6,217.5,연결,20191112000261,DART 감사보고서,연결에 비화장품 자회사 포함 가능; 해당연도 보고서 없음 → 차기 보고서의 전기 수치
지피클럽,JM솔루션,brand,2018,5543.8,2066.6,연결,20200630000154,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2019,4686.7,1226.6,연결,20210406002866,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2020,4044.3,974.5,연결,20220331003070,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2021,5355.0,527.0,연결,20230331002048,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2022,5730.7,498.8,연결,20240329001233,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2023,3557.5,98.1,연결,20250328001935,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2024,3757.9,-212.3,연결,20260331002673,DART 감사보고서,연결에 비화장품 자회사 포함 가능
지피클럽,JM솔루션,brand,2025,4309.8,-98.3,연결,20260331002673,DART 감사보고서,연결에 비화장품 자회사 포함 가능
에프앤코,바닐라코,brand,2015,1206.7,330.6,연결,20170414001042,DART 감사보고서,재작성값 사용(차기 보고서 전기); 최초 공시 매출 1206.0/영업이익 330.4억
에프앤코,바닐라코,brand,2016,1831.8,395.2,연결,20180402002091,DART 감사보고서,
에프앤코,바닐라코,brand,2017,1481.9,139.4,연결,20190403000601,DART 감사보고서,
에프앤코,바닐라코,brand,2018,1241.0,0.9,연결,20200330003265,DART 감사보고서,
에프앤코,바닐라코,brand,2019,1046.7,73.3,연결,20210329000375,DART 감사보고서,
에프앤코,바닐라코,brand,2020,913.9,-15.2,연결,20220331003044,DART 감사보고서,
에프앤코,바닐라코,brand,2021,1170.7,152.7,연결,20230327000735,DART 감사보고서,
에프앤코,바닐라코,brand,2022,1184.9,117.2,연결,20240325000316,DART 감사보고서,
에프앤코,바닐라코,brand,2023,1530.6,218.9,연결,20250403002919,DART 감사보고서,
에프앤코,바닐라코,brand,2024,1945.5,269.7,연결,20260327000909,DART 감사보고서,
에프앤코,바닐라코,brand,2025,2042.8,140.3,연결,20260327000909,DART 감사보고서,
더페이스샵,더페이스샵,brand,2015,6290.7,597.8,연결,20170317000368,DART 감사보고서,LG생활건강 자회사; FY2019 이후 감사보고서 없음(LG생건에 합병)
더페이스샵,더페이스샵,brand,2016,6498.1,451.4,연결,20180320000113,DART 감사보고서,LG생활건강 자회사; FY2019 이후 감사보고서 없음(LG생건에 합병)
더페이스샵,더페이스샵,brand,2017,5473.1,155.7,연결,20190320000518,DART 감사보고서,LG생활건강 자회사; FY2019 이후 감사보고서 없음(LG생건에 합병); 재작성값 사용(차기 보고서 전기); 최초 공시 매출 5673.5/영업이익 158.7억
더페이스샵,더페이스샵,brand,2018,4872.6,160.0,연결,20200320000374,DART 감사보고서,LG생활건강 자회사; FY2019 이후 감사보고서 없음(LG생건에 합병)
더페이스샵,더페이스샵,brand,2019,5435.2,228.0,연결,20200320000374,DART 감사보고서,LG생활건강 자회사; FY2019 이후 감사보고서 없음(LG생건에 합병)
코리아테크,가히,brand,2015,445.0,18.8,별도,20170404000824,DART 감사보고서,
코리아테크,가히,brand,2016,835.0,232.3,별도,20180409000827,DART 감사보고서,
코리아테크,가히,brand,2017,1476.7,572.2,별도,20200217000961,DART 감사보고서,
코리아테크,가히,brand,2018,1328.4,326.3,별도,20200410003275,DART 감사보고서,
코리아테크,가히,brand,2019,283.7,-137.6,별도,20210414001059,DART 감사보고서,
코리아테크,가히,brand,2020,139.4,-139.1,별도,20220404000583,DART 감사보고서,
코리아테크,가히,brand,2021,2513.8,459.4,별도,20230404002288,DART 감사보고서,
코리아테크,가히,brand,2022,1943.9,-183.3,별도,20240402001113,DART 감사보고서,
코리아테크,가히,brand,2023,943.2,32.0,별도,20250402000398,DART 감사보고서,
코리아테크,가히,brand,2024,743.4,-158.1,별도,20260331002374,DART 감사보고서,
코리아테크,가히,brand,2025,808.0,-117.5,별도,20260331002374,DART 감사보고서,
스킨이데아,메디필,brand,2019,362.3,85.5,별도,20210401001169,DART 감사보고서,해당연도 보고서 없음 → 차기 보고서의 전기 수치
스킨이데아,메디필,brand,2020,390.4,172.5,별도,20220406000737,DART 감사보고서,
스킨이데아,메디필,brand,2021,552.0,140.6,별도,20230331004432,DART 감사보고서,
스킨이데아,메디필,brand,2022,699.3,187.1,별도,20240329000967,DART 감사보고서,
스킨이데아,메디필,brand,2023,740.7,194.1,별도,20250328001550,DART 감사보고서,
스킨이데아,메디필,brand,2024,1055.5,294.3,별도,20260331001082,DART 감사보고서,
스킨이데아,메디필,brand,2025,1045.1,266.3,별도,20260331001082,DART 감사보고서,
